"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0,0,0,0,0
-1.961666676E-4,1.628844246E-1,-2.104386601E-1,-3.249935085E-1,4.200435049E-1
9.859833332E-3,2.893667158E-1,-2.359024072E-1,-2.574985135E-1,4.535289697E-1
1.991683333E-2,3.350527659E-1,-1.140750843E-1,-2.107979715E-1,4.119578444E-1
2.997383333E-2,3.034348243E-1,6.590425998E-2,-1.249099749E-1,3.346917477E-1
4.002983333E-2,3.130102247E-1,1.745861650E-1,-8.529684305E-2,3.684172651E-1
5.008683333E-2,3.310436225E-1,2.322467279E-1,-8.101317286E-3,4.044676180E-1
6.014383333E-2,3.437367582E-1,2.107187417E-1,1.397057694E-1,4.267025300E-1
7.020083333E-2,3.550563830E-1,2.017450199E-1,3.122676283E-1,5.140789432E-1
8.025683333E-2,4.099120367E-1,1.993511698E-1,4.778625298E-1,6.603948546E-1
9.031383333E-2,3.576975703E-1,3.204820892E-1,5.481238425E-1,7.287633827E-1
1.003708333E-1,2.345715809E-1,4.750400788E-1,5.505153537E-1,7.640379949E-1
1.104278333E-1,2.384199259E-1,5.764167649E-1,4.564009094E-1,7.729179374E-1
1.204838333E-1,3.760724455E-1,4.588801289E-1,2.005863941E-1,6.262877601E-1
1.305408333E-1,5.191137591E-1,3.705936044E-1,1.580449766E-1,6.571125696E-1
1.405978333E-1,6.050274834E-1,2.538846418E-1,6.296866536E-3,6.561671415E-1
1.506548333E-1,9.069763841E-1,2.356807977E-1,-2.106143689E-1,9.604738477E-1
1.607108333E-1,1.065609006E0,1.238025123E-1,-3.188475001E-1,1.119157426E0
1.707678333E-1,1.083877316E0,-3.063443989E-2,-3.298227239E-1,1.133362931E0
1.808248333E-1,1.035041517E0,-1.062333834E-1,-2.991985166E-1,1.082643166E0
1.908807917E-1,9.726192735E-1,-1.027408415E-1,-2.652571839E-1,1.013363363E0
2.009377917E-1,9.191429780E-1,-3.056193441E-2,-1.191709328E-1,9.273400440E-1
2.109947917E-1,7.175374143E-1,1.102931052E-2,-1.553137422E-1,7.342369816E-1
2.210517917E-1,4.157111590E-1,1.785236800E-1,-5.140222961E-1,6.847666704E-1
2.311077917E-1,3.693510711E-1,1.609916809E-1,-8.880786216E-1,9.752036573E-1
2.411647917E-1,4.879862528E-1,8.919371992E-2,-8.807596618E-1,1.010852949E0
2.512217917E-1,5.999247645E-1,-1.309747070E-2,-5.788439441E-1,8.337515088E-1
2.612787917E-1,5.060770994E-1,-1.114359435E-1,-3.208718061E-1,6.095003823E-1
2.713347917E-1,4.425839388E-1,-2.010009617E-2,-5.606433159E-1,7.145666410E-1
2.813917917E-1,3.098381102E-1,-6.668983340E-2,-6.745207644E-1,7.452687099E-1
2.914487917E-1,1.553064331E-1,-3.584343195E-4,-8.117999393E-1,8.265224486E-1
3.015057917E-1,1.371943903E-1,-2.479131728E-2,-7.051730382E-1,7.188225956E-1
3.115617917E-1,4.696600556E-1,-1.549728495E-1,-2.458140224E-1,5.522876837E-1
3.216187917E-1,7.784740260E-1,-3.823877308E-1,-1.184078711E-1,8.753642726E-1
3.316757917E-1,1.002625284E0,-6.956876850E-1,-3.209010422E-2,1.220765575E0
3.417317917E-1,1.250370934E0,-8.859207067E-1,2.543550503E-1,1.553376794E0
3.517887917E-1,1.564914006E0,-1.108452871E0,5.401529181E-1,1.992332499E0
3.618457917E-1,1.680444170E0,-1.517929582E0,6.671369004E-1,2.360736002E0
3.719027917E-1,1.527078136E0,-1.945966233E0,8.160040873E-1,2.604729330E0
3.819587917E-1,1.192655700E0,-2.456967857E0,9.327759075E-1,2.886033535E0
3.920157917E-1,7.904599410E-1,-2.702990626E0,1.020971215E0,2.995557955E0
